#FRAME_ID, X, Y, Z
506.000 0.617 -0.026 -0.123
506.000 0.617 -0.026 -0.123
507.000 0.605 -0.026 -0.121
921.000 -4.287 0.089 0.388
507.000 0.605 -0.026 -0.121
508.000 0.594 -0.026 -0.120
508.000 0.594 -0.026 -0.120
905.000 -4.099 0.085 0.360
509.000 0.584 -0.027 -0.120
561.000 -0.037 -0.016 -0.087
881.000 -3.817 0.072 0.317
509.000 0.584 -0.027 -0.120
510.000 0.571 -0.026 -0.118
510.000 0.571 -0.026 -0.118
511.000 0.558 -0.025 -0.118
511.000 0.558 -0.025 -0.118
512.000 0.545 -0.025 -0.118
513.000 0.532 -0.023 -0.118
586.000 -0.332 -0.009 -0.070
621.000 -0.746 -0.000 -0.044
683.000 -1.486 0.017 0.025
513.000 0.532 -0.023 -0.118
514.000 0.521 -0.025 -0.116
514.000 0.521 -0.025 -0.116
515.000 0.508 -0.025 -0.115
516.000 0.497 -0.025 -0.115
517.000 0.485 -0.025 -0.116
577.000 -0.225 -0.012 -0.076
517.000 0.485 -0.025 -0.116
518.000 0.472 -0.023 -0.115
567.000 -0.106 -0.015 -0.082
518.000 0.472 -0.023 -0.115
519.000 0.460 -0.023 -0.115
521.000 0.436 -0.023 -0.115
519.000 0.460 -0.023 -0.115
520.000 0.449 -0.022 -0.115
521.000 0.436 -0.023 -0.114
636.000 -0.925 0.003 -0.029
522.000 0.424 -0.025 -0.114
915.000 -4.216 0.087 0.384
523.000 0.411 -0.023 -0.114
869.000 -3.673 0.064 0.291
524.000 0.399 -0.022 -0.113
639.000 -0.960 0.003 -0.027
524.000 0.399 -0.022 -0.113
525.000 0.387 -0.021 -0.113
1072.000 -6.089 0.160 0.720
526.000 0.375 -0.022 -0.113
875.000 -3.745 0.070 0.306
991.000 -5.106 0.111 0.521
527.000 0.361 -0.020 -0.112
600.000 -0.499 -0.005 -0.060
529.000 0.338 -0.020 -0.110
687.000 -1.533 0.018 0.030
530.000 0.327 -0.020 -0.109
531.000 0.315 -0.020 -0.108
532.000 0.303 -0.021 -0.107
533.000 0.290 -0.020 -0.107
601.000 -0.510 -0.005 -0.060
534.000 0.279 -0.020 -0.106
535.000 0.267 -0.019 -0.105
546.000 0.140 -0.020 -0.097
536.000 0.256 -0.020 -0.104
645.000 -1.031 0.005 -0.019
537.000 0.243 -0.020 -0.103
655.000 -1.151 0.008 -0.010
538.000 0.231 -0.019 -0.103
646.000 -1.043 0.005 -0.018
539.000 0.219 -0.019 -0.103
540.000 0.209 -0.021 -0.102
541.000 0.197 -0.020 -0.102
542.000 0.186 -0.020 -0.101
543.000 0.175 -0.020 -0.100
694.000 -1.617 0.018 0.039
544.000 0.162 -0.019 -0.099
923.000 -4.310 0.087 0.392
545.000 0.150 -0.020 -0.099
547.000 0.128 -0.019 -0.096
1048.000 -5.794 0.150 0.671
550.000 0.092 -0.019 -0.093
551.000 0.081 -0.019 -0.093
552.000 0.069 -0.019 -0.092
553.000 0.057 -0.018 -0.092
554.000 0.045 -0.017 -0.091
555.000 0.033 -0.017 -0.091
556.000 0.021 -0.017 -0.090
558.000 -0.002 -0.016 -0.089
559.000 -0.014 -0.016 -0.088
560.000 -0.025 -0.016 -0.087
562.000 -0.048 -0.015 -0.085
563.000 -0.059 -0.016 -0.084
565.000 -0.083 -0.015 -0.083
566.000 -0.096 -0.015 -0.082
568.000 -0.119 -0.014 -0.082
570.000 -0.142 -0.014 -0.080
572.000 -0.165 -0.015 -0.079
573.000 -0.177 -0.015 -0.080
649.000 -1.078 0.007 -0.016
574.000 -0.189 -0.015 -0.078
575.000 -0.202 -0.013 -0.077
576.000 -0.213 -0.013 -0.076
578.000 -0.237 -0.012 -0.076
579.000 -0.248 -0.013 -0.075
581.000 -0.272 -0.012 -0.074
640.000 -0.972 0.005 -0.025
582.000 -0.284 -0.011 -0.072
583.000 -0.296 -0.010 -0.072
584.000 -0.308 -0.010 -0.072
585.000 -0.320 -0.010 -0.071
587.000 -0.344 -0.008 -0.069
589.000 -0.367 -0.009 -0.068
618.000 -0.710 -0.001 -0.046
590.000 -0.379 -0.008 -0.068
617.000 -0.698 -0.002 -0.047
591.000 -0.390 -0.009 -0.067
734.000 -2.091 0.025 0.082
