#FRAME_ID, X, Y, Z
364.000 2.452 -0.059 -0.374
194.000 -1.519 0.022 0.370
211.000 -1.100 0.013 0.308
194.000 -1.519 0.021 0.371
195.000 -1.493 0.020 0.367
196.000 -1.466 0.018 0.364
197.000 -1.441 0.019 0.358
238.000 -0.445 -0.003 0.199
197.000 -1.441 0.019 0.359
199.000 -1.393 0.017 0.354
200.000 -1.378 0.017 0.350
209.000 -1.154 0.012 0.318
269.000 0.251 -0.016 0.105
284.000 0.606 -0.025 0.041
201.000 -1.350 0.016 0.346
204.000 -1.272 0.011 0.333
204.000 -1.272 0.011 0.332
446.000 4.296 -0.060 -0.939
205.000 -1.245 0.013 0.331
239.000 -0.417 -0.001 0.196
236.000 -0.497 -0.002 0.207
205.000 -1.246 0.013 0.330
206.000 -1.223 0.014 0.328
206.000 -1.223 0.012 0.328
210.000 -1.127 0.009 0.312
210.000 -1.127 0.011 0.312
289.000 0.732 -0.029 0.023
211.000 -1.099 0.014 0.309
212.000 -1.072 0.011 0.304
213.000 -1.050 0.009 0.299
214.000 -1.034 0.010 0.296
247.000 -0.241 -0.005 0.174
216.000 -0.981 0.008 0.287
259.000 0.030 -0.011 0.148
367.000 2.526 -0.058 -0.391
226.000 -0.732 0.004 0.247
217.000 -0.955 0.009 0.283
378.000 2.778 -0.057 -0.462
217.000 -0.954 0.009 0.285
218.000 -0.928 0.008 0.279
255.000 -0.057 -0.010 0.157
258.000 0.007 -0.010 0.149
219.000 -0.901 0.007 0.274
317.000 1.371 -0.041 -0.109
219.000 -0.900 0.008 0.275
220.000 -0.879 0.008 0.273
362.000 2.399 -0.057 -0.361
221.000 -0.862 0.007 0.268
224.000 -0.779 0.005 0.256
225.000 -0.753 0.005 0.251
226.000 -0.732 0.004 0.247
265.000 0.159 -0.013 0.126
227.000 -0.716 0.001 0.244
478.000 5.000 -0.045 -1.178
381.000 2.851 -0.054 -0.478
228.000 -0.691 0.002 0.240
228.000 -0.691 0.002 0.239
298.000 0.927 -0.033 -0.016
229.000 -0.664 0.003 0.235
231.000 -0.611 0.002 0.225
302.000 1.025 -0.034 -0.043
232.000 -0.584 0.001 0.220
233.000 -0.564 0.001 0.217
271.000 0.293 -0.016 0.097
233.000 -0.565 -0.000 0.217
234.000 -0.549 0.001 0.214
235.000 -0.523 -0.000 0.212
291.000 0.766 -0.029 0.016
235.000 -0.522 -0.000 0.211
236.000 -0.496 -0.001 0.206
237.000 -0.471 -0.001 0.204
237.000 -0.471 -0.001 0.204
238.000 -0.444 -0.002 0.199
